CellCLI> LIST GRIDDISK ATTRIBUTES name, asmmodestatus
	 BANKBU_DBFS01_01_CD_SC01_CEL03	 ONLINE
	 BANKBU_DBFS01_02_CD_SC01_CEL03	 ONLINE
	 DATA00_CD_00_sc01_cel03       	 ONLINE
	 DATA00_CD_01_sc01_cel03       	 ONLINE
	 DATA00_CD_02_sc01_cel03       	 ONLINE
	 DATA00_CD_03_sc01_cel03       	 ONLINE
	 DATA00_CD_04_sc01_cel03       	 ONLINE
	 DATA00_CD_05_sc01_cel03       	 ONLINE
	 DATA00_CD_06_sc01_cel03       	 ONLINE
	 DATA00_CD_07_sc01_cel03       	 ONLINE
	 DATA00_CD_08_sc01_cel03       	 ONLINE
	 DATA00_CD_09_sc01_cel03       	 ONLINE
	 DATA00_CD_10_sc01_cel03       	 ONLINE
	 DATA00_CD_11_sc01_cel03       	 ONLINE
	 DATA01_CD_00_sc01_cel03       	 ONLINE
	 DATA01_CD_01_sc01_cel03       	 ONLINE
	 DATA01_CD_02_sc01_cel03       	 ONLINE
	 DATA01_CD_03_sc01_cel03       	 ONLINE
	 DATA01_CD_04_sc01_cel03       	 ONLINE
	 DATA01_CD_05_sc01_cel03       	 ONLINE
	 DATA01_CD_06_sc01_cel03       	 ONLINE
	 DATA01_CD_07_sc01_cel03       	 ONLINE
	 DATA01_CD_08_sc01_cel03       	 ONLINE
	 DATA01_CD_09_sc01_cel03       	 ONLINE
	 DATA01_CD_10_sc01_cel03       	 ONLINE
	 DATA01_CD_11_sc01_cel03       	 ONLINE
	 DATA02_CD_00_sc01_cel03       	 ONLINE
	 DATA02_CD_01_sc01_cel03       	 ONLINE
	 DATA02_CD_02_sc01_cel03       	 ONLINE
	 DATA02_CD_03_sc01_cel03       	 ONLINE
	 DATA02_CD_04_sc01_cel03       	 ONLINE
	 DATA02_CD_05_sc01_cel03       	 ONLINE
	 DATA02_CD_06_sc01_cel03       	 ONLINE
	 DATA02_CD_07_sc01_cel03       	 ONLINE
	 DATA02_CD_08_sc01_cel03       	 ONLINE
	 DATA02_CD_09_sc01_cel03       	 ONLINE
	 DATA02_CD_10_sc01_cel03       	 ONLINE
	 DATA02_CD_11_sc01_cel03       	 ONLINE
	 DATA03_CD_00_sc01_cel03       	 ONLINE
	 DATA03_CD_01_sc01_cel03       	 ONLINE
	 DATA03_CD_02_sc01_cel03       	 ONLINE
	 DATA03_CD_03_sc01_cel03       	 ONLINE
	 DATA03_CD_04_sc01_cel03       	 ONLINE
	 DATA03_CD_05_sc01_cel03       	 ONLINE
	 DATA03_CD_06_sc01_cel03       	 ONLINE
	 DATA03_CD_07_sc01_cel03       	 ONLINE
	 DATA03_CD_08_sc01_cel03       	 ONLINE
	 DATA03_CD_09_sc01_cel03       	 ONLINE
	 DATA03_CD_10_sc01_cel03       	 ONLINE
	 DATA03_CD_11_sc01_cel03       	 ONLINE
	 DATA04_CD_00_sc01_cel03       	 ONLINE
	 DATA04_CD_01_sc01_cel03       	 ONLINE
	 DATA04_CD_02_sc01_cel03       	 ONLINE
	 DATA04_CD_03_sc01_cel03       	 ONLINE
	 DATA04_CD_04_sc01_cel03       	 ONLINE
	 DATA04_CD_05_sc01_cel03       	 ONLINE
	 DATA04_CD_06_sc01_cel03       	 ONLINE
	 DATA05_CD_00_sc01_cel03       	 ONLINE
	 DATA05_CD_01_sc01_cel03       	 ONLINE
	 DATA05_CD_02_sc01_cel03       	 ONLINE
	 DATA05_CD_03_sc01_cel03       	 ONLINE
	 DATA05_CD_04_sc01_cel03       	 ONLINE
	 DATA05_CD_05_sc01_cel03       	 ONLINE
	 DATA05_CD_06_sc01_cel03       	 ONLINE
	 DATA05_CD_07_sc01_cel03       	 ONLINE
	 DATA05_CD_08_sc01_cel03       	 ONLINE
	 DATA05_CD_09_sc01_cel03       	 ONLINE
	 DATA05_CD_10_sc01_cel03       	 ONLINE
	 DATA05_CD_11_sc01_cel03       	 ONLINE
	 DATA06_CD_00_sc01_cel03       	 ONLINE
	 DATA06_CD_01_sc01_cel03       	 ONLINE
	 DATA06_CD_02_sc01_cel03       	 ONLINE
	 DATA06_CD_03_sc01_cel03       	 ONLINE
	 DATA06_CD_04_sc01_cel03       	 ONLINE
	 DATA06_CD_05_sc01_cel03       	 ONLINE
	 DATA06_CD_06_sc01_cel03       	 ONLINE
	 DATA06_CD_07_sc01_cel03       	 ONLINE
	 DATA06_CD_08_sc01_cel03       	 ONLINE
	 DATA06_CD_09_sc01_cel03       	 ONLINE
	 DATA06_CD_10_sc01_cel03       	 ONLINE
	 DATA06_CD_11_sc01_cel03       	 ONLINE
	 DATA07_CD_00_sc01_cel03       	 ONLINE
	 DATA07_CD_01_sc01_cel03       	 ONLINE
	 DATA07_CD_02_sc01_cel03       	 ONLINE
	 DATA07_CD_03_sc01_cel03       	 ONLINE
	 DATA07_CD_04_sc01_cel03       	 ONLINE
	 DATA07_CD_05_sc01_cel03       	 ONLINE
	 DATA07_CD_06_sc01_cel03       	 ONLINE
	 DATA07_CD_07_sc01_cel03       	 ONLINE
	 DATA07_CD_08_sc01_cel03       	 ONLINE
	 DATA07_CD_09_sc01_cel03       	 ONLINE
	 DATA07_CD_10_sc01_cel03       	 ONLINE
	 DATA07_CD_11_sc01_cel03       	 ONLINE
	 DATA08_CD_00_sc01_cel03       	 ONLINE
	 DATA08_CD_01_sc01_cel03       	 ONLINE
	 DATA08_CD_02_sc01_cel03       	 ONLINE
	 DATA08_CD_03_sc01_cel03       	 ONLINE
	 DATA08_CD_04_sc01_cel03       	 ONLINE
	 DATA08_CD_05_sc01_cel03       	 ONLINE
	 DATA08_CD_06_sc01_cel03       	 ONLINE
	 DATA08_CD_07_sc01_cel03       	 ONLINE
	 DATA08_CD_08_sc01_cel03       	 ONLINE
	 DATA08_CD_09_sc01_cel03       	 ONLINE
	 DATA08_CD_10_sc01_cel03       	 ONLINE
	 DATA08_CD_11_sc01_cel03       	 ONLINE
	 DATA09_CD_00_sc01_cel03       	 ONLINE
	 DATA09_CD_01_sc01_cel03       	 ONLINE
	 DATA09_CD_02_sc01_cel03       	 ONLINE
	 DATA09_CD_03_sc01_cel03       	 ONLINE
	 DATA09_CD_04_sc01_cel03       	 ONLINE
	 DATA09_CD_05_sc01_cel03       	 ONLINE
	 DATA09_CD_06_sc01_cel03       	 ONLINE
	 DATA09_CD_07_sc01_cel03       	 ONLINE
	 DATA09_CD_08_sc01_cel03       	 ONLINE
	 DATA09_CD_09_sc01_cel03       	 ONLINE
	 DATA09_CD_10_sc01_cel03       	 ONLINE
	 DATA09_CD_11_sc01_cel03       	 ONLINE
	 DATA10_CD_03_sc01_cel03       	 ONLINE
	 DATA10_CD_04_sc01_cel03       	 ONLINE
	 DATA11_CD_01_sc01_cel03       	 ONLINE
	 DATA11_CD_02_sc01_cel03       	 ONLINE
	 DATA11_CD_03_sc01_cel03       	 ONLINE
	 DATA11_CD_04_sc01_cel03       	 ONLINE
	 DATA11_CD_05_sc01_cel03       	 ONLINE
	 DATA11_CD_06_sc01_cel03       	 ONLINE
	 DATA11_CD_07_sc01_cel03       	 ONLINE
	 DATA11_CD_08_sc01_cel03       	 ONLINE
	 DATA11_CD_11_sc01_cel03       	 ONLINE
	 DATA12_CD_07_sc01_cel03       	 ONLINE
	 DATA13_CD_06_sc01_cel03       	 ONLINE
	 DATA15_CD_03_sc01_cel03       	 ONLINE
	 DATA16_CD_04_sc01_cel03       	 ONLINE
	 DATA16_CD_06_sc01_cel03       	 ONLINE
	 DATA16_CD_11_sc01_cel03       	 ONLINE
	 DATA17_CD_01_sc01_cel03       	 ONLINE
	 DATA17_CD_04_sc01_cel03       	 ONLINE
	 DATA19_CD_01_sc01_cel03       	 ONLINE
	 DATA19_CD_03_sc01_cel03       	 ONLINE
